image_list,key_resp_intructions.keys,key_resp_intructions.rt,key_resp_intructions_3.keys,key_resp_intructions_3.rt,PracticeComplete_2.keys,PracticeComplete_2.rt,PracticeComplete_3.keys,PracticeComplete_3.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,demo_images,path_images,participant,date,expName,psychopyVersion,OS,frameRate,windowSize,practice_complete.keys,practice_complete.rt,boxes_checked,PracticeComplete.keys,PracticeComplete.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_images,feedback_images,key_resp_intructions_2.keys,key_resp_intructions_2.rt,Image_List_2,trial_complete.keys,trial_complete.rt,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Image_List_1,Image_List_3,Image_List_4,Image_List_5
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box""]",,,,,,,,,,,,sidewalk5.jpg,space,7.36566,[0.00728001863684771],[-0.2915377063365282],[1],[0],[0],[6.897879999996803],"[""trial_ahead_box""]",0,2,2,85,1,recordingstudio4.jpg,ruralroad2.jpg,sandDunes_desert_outdoor3.jpg,rooftop3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_sharp_left_box"",""trial_sharp_right_box""]",,,,,,,,,,,,driveway4.jpg,space,6.166005,"[-0.5889160676251332,0.5850597377529286]","[-0.3239857894036209,-0.2967543596911608]","[1,1]","[0,0]","[0,0]","[3.0631199999988894,5.479755000000296]","[""trial_sharp_left_box"",""trial_sharp_right_box""]",0,3,3,37,1,dining_car.jpg,dinosaur4.jpg,driveway7.jpg,citystreet9.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_sharp_right_box"",""trial_ahead_box"",""trial_slight_right_box""]",,,,,,,,,,,,church8.jpg,space,7.80126,"[0.5951020034611288,0.019626930244941426,0.20198515708200213]","[-0.30961295260915866,-0.3187233759318424,-0.3245057907348243]","[1,1,1]","[0,0,0]","[0,0,0]","[5.6142750000000206,6.797855000004347,7.58118500000262]","[""trial_sharp_right_box"",""trial_ahead_box"",""trial_slight_right_box""]",0,4,4,23,1,bus_shelter.jpg,carmechanic4.jpeg,cemetery3.jpg,bleachers6.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box"",""trial_slight_right_box""]",,,,,,,,,,,,desertvegetation6.jpg,space,3.932385,"[0.003989450212992545,0.2366006056975506,0.18801168130990414]","[-0.2922948282747604,-0.2902522630457934,-0.2933015508519702]","[1,1,1]","[0,0,0]","[0,0,0]","[2.4632700000000796,3.046199999997043,3.6303649999973686]","[""trial_ahead_box"",""trial_slight_right_box""]",0,5,5,31,1,cubicle4.jpg,conference4.jpg,courtroom2.jpg,cabin3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box""]",,,,,,,,,,,,track5.jpg,space,2.71739,"[-0.038946019701810435,0.015387879392971246]","[-0.32640691560170393,-0.31737969249201275]","[1,1]","[0,0]","[0,0]","[1.4810050000013462,2.081510000003391]","[""trial_ahead_box""]",0,6,6,89,1,ruralroad7.jpg,ShowJumping7.jpg,staircase7.jpg,sculpturegarden3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_sharp_left_box"",""trial_left_box"",""trial_slight_left_box"",""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box"",""trial_sharp_right_box""]",,,,,,,,,,,,playground6.jpg,space,10.58208,"[-0.583191892971246,-0.4550802050053248,-0.3726911940894569,-0.39922374201277955,-0.2318540335463259,-0.20592884717784876,-0.0026041666666666665,0.2159253527689031,0.4260558107028754,0.4019901490947817,0.6015541799787008]","[-0.300847810170394,-0.3022913338658147,-0.3068839856230032,-0.3212152223109691,-0.32175186368477104,-0.30333133652822153,-0.2926733892438765,-0.29457451411075614,-0.30085197018104365,-0.29561867678381254,-0.2971953208200213]","[1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0]","[2.4628799999992452,2.996135000001118,3.530529999996247,4.763885000000187,5.229549999996266,5.846704999996405,6.563344999995138,7.230159999999273,8.245539999996367,9.013644999999087,10.14641999999742]","[""trial_sharp_left_box"",""trial_left_box"",""trial_slight_left_box"",""trial_ahead_box"",""trial_slight_right_box"",""trial_right_box"",""trial_sharp_right_box""]",0,7,7,75,1,pantry5.jpg,operatingroom4.jpg,park.jpg,lockerroom.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_slight_left_box""]",,,,,,,,,,,,breakroom5.jpg,space,2.84874,[-0.18995024627263046],[-0.3061851038338658],[1],[0],[0],[2.4804399999991347],"[""trial_slight_left_box""]",0,8,8,14,1,ballroom1.jpg,bistrooutdoor5.jpg,botanicalGarden5.jpg,ballroom3.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box""]",,,,,,,,,,,,barbershop3.jpg,space,1.4331,[-0.018187566560170395],[-0.29766540202342917],[1],[0],[0],[1.198275000002468],"[""trial_ahead_box""]",0,9,9,10,1,backstage2.jpg,ballroom4.jpg,basketballcourt3.jpg,ATM4.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_ahead_box""]",,,,,,,,,,,,apartmentBuilding1.jpg,space,1.69927,[0.009360023961661341],[-0.31606096911608095],[1],[0],[0],[1.4807900000014342],"[""trial_ahead_box""]",0,10,10,1,1,airportTerminal4.jpg,applestore1.jpg,airportTerminal3.jpg,airportTerminal2.jpg
Image_List_2,,,,,,,,,,,,,,,,44458,2020-11-23_15h59.01.059,lingCatScenes,2020.1.3,MacIntel,60,"[1680,939]",,,"[""trial_slight_right_box""]",,,,,,,,,,,,hallway5.jpg,space,1.91753,[0.2173605564430245],[-0.3085479898828541],[1],[0],[0],[1.4463150000011638],"[""trial_slight_right_box""]",0,11,11,51,1,gasstation6.jpg,frontDoor5.jpg,hayfield4.jpg,firestation5.jpg
